20200725,14:40:05,99.710,1381.476,1381.476,1381.476,1381.476,1381.476,1381.476,1381.476
20200725,14:52:29,99.710,1381.838,1381.838,1381.838,1381.838,1381.838,1381.838,1381.838,28.835
20200725,15:11:49,99.710,1381.734,1381.734,1381.734,1381.734,1381.734,1381.734,1381.734,29.085
20200725,15:12:49,99.710,1381.705,1381.705,1381.705,1381.705,1381.705,1381.705,1381.705,29.296
20200725,15:13:49,99.710,1381.684,1381.684,1381.684,1381.684,1381.684,1381.684,1381.684,29.428
20200725,15:14:49,99.710,1381.674,1381.674,1381.674,1381.674,1381.674,1381.674,1381.674,29.513
20200725,15:15:49,99.710,1381.670,1381.670,1381.670,1381.670,1381.670,1381.670,1381.670,29.423
20200725,15:16:50,99.710,1381.662,1381.662,1381.662,1381.662,1381.662,1381.662,1381.662,29.199
20200725,15:17:50,99.710,1381.648,1381.648,1381.648,1381.648,1381.648,1381.648,1381.648,28.989
20200725,15:18:50,99.710,1381.629,1381.629,1381.629,1381.629,1381.629,1381.629,1381.629,28.802
20200725,15:19:50,99.710,1381.599,1381.599,1381.599,1381.599,1381.599,1381.599,1381.599,28.689
20200725,15:20:50,99.710,1381.566,1381.566,1381.566,1381.566,1381.566,1381.566,1381.566,28.572
20200725,15:21:50,99.710,1381.524,1381.524,1381.524,1381.524,1381.524,1381.524,1381.524,28.485
20200725,15:22:50,99.710,1381.477,1381.477,1381.477,1381.477,1381.477,1381.477,1381.477,28.411
20200725,15:23:50,99.710,1381.428,1381.428,1381.428,1381.428,1381.428,1381.428,1381.428,28.333
20200725,15:24:50,99.710,1381.372,1381.372,1381.372,1381.372,1381.372,1381.372,1381.372,28.248
20200725,15:25:50,99.710,1381.319,1381.319,1381.319,1381.319,1381.319,1381.319,1381.319,28.161
20200725,15:26:50,99.710,1381.261,1381.261,1381.261,1381.261,1381.261,1381.261,1381.261,28.041
20200725,15:27:50,99.710,1381.201,1381.201,1381.201,1381.201,1381.201,1381.201,1381.201,27.986
20200725,15:28:50,99.710,1381.145,1381.145,1381.145,1381.145,1381.145,1381.145,1381.145,27.930
20200725,15:29:50,99.710,1381.085,1381.085,1381.085,1381.085,1381.085,1381.085,1381.085,27.916
20200725,15:30:50,99.710,1381.025,1381.025,1381.025,1381.025,1381.025,1381.025,1381.025,27.900
20200725,15:31:50,99.710,1380.962,1380.962,1380.962,1380.962,1380.962,1380.962,1380.962,27.798
20200725,15:32:50,99.710,1380.904,1380.904,1380.904,1380.904,1380.904,1380.904,1380.904,27.801
20200725,15:33:50,99.710,1380.843,1380.843,1380.843,1380.843,1380.843,1380.843,1380.843,27.793
20200725,15:34:50,99.710,1380.789,1380.789,1380.789,1380.789,1380.789,1380.789,1380.789,27.769
20200725,15:35:50,99.710,1380.736,1380.736,1380.736,1380.736,1380.736,1380.736,1380.736,27.698
20200725,15:36:50,99.710,1380.680,1380.680,1380.680,1380.680,1380.680,1380.680,1380.680,27.657
20200725,15:37:51,99.710,1380.625,1380.625,1380.625,1380.625,1380.625,1380.625,1380.625,27.601
